Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
SANDTON DRIVE SERVICE CENTRE iSTORE,iStores,CORE,cv5381,,,1 Sandton Drive,"Sandhurst,Sandton",GAU,
LIBERTY MIDLANDS MALL MTN MC,MTN,MC,cv298,Liberty Midlands Mall,Shop 211,50 Sanctuary Road,Chase Valley,KZN,
BALLITO JUNCTION iSTORE,iStores,CORE,cv5501,Ballito Junction,Shop 242,Leonora Drive,Ballito,KZN,
ALICE JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5563,Kwantu Mall,Shop 07,High and Bridge Street,ALICE,EC,5700
MDANTSANE CITY MALL JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5560,MDANTSANE CITY MALL,Shop 16,Cnr Qumza & Billie Road,East London,EC,5219
FORT BEAUFORT JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5561,Grove Plaza Mall,Shop No 8,Campbell Street,Fort Beurfort,EC,5720
ADDERLEY TELKOM MIG,TELKOM,MIGARDA,cv5445,The Adderley,Shop 5,Cnr Adderley & Longmarket Street,Cape Town,WC,8001
BALLITO JUNCTION TELKOM MIG,TELKOM,MIGARDA,cv367,Ballito Junction Regional Mall,Shop 214,Ballito Drive,Ballito,KZN,
BLOEMFONTEIN VODACENTRE YTC,VODACOM,082 Shop,cv308,Voda Centre,,3 Collins Road,"Westdene,Bloemfontein",FS,
BRIDGECITY MALL KWAMASHU MTN MC,MTN,MC,cv5251,Bridge City Mall,Shop L68,Nogwaja Street,KwaMashu,KZN,
BRINANT GROUP PTY LTD,N/A,BRINANT,cv5280,,,19 Mary Thipe Street,"Westridge, Berea",KZN,4091
BROOKLYN SCOIN,N/A,GOLD COIN.,cv598,Brooklyn Mall,Shop 219,Corner Veale Street and Fehrsen Street,"Brooklyn, Pretoria",GAU,0181
CANAL WALK iSTORE CORE,iStores,CORE,cv5408,"Upper level,Canal Walk Mall",Shop 428,Century City Boulevard,Cape Town,WC,8001
CANAL WALK SCOIN,N/A,GOLD COIN.,cv595,Canal Walk Shopping Centre,Shop 150,Century Blvd,Century City,WC,
CASCADES CENTRE PMB MTN HRC,MTN,CELL LOGIC,cv259,Cascades Centre,Shop G13,23 Mc Carthy Drive,"Montrose, Pietermaritzburg",KZN,3201
EDENVALE CASH CRUSADERS,N/A,CASH CRUSADERS,cv5493,Van Riebeeck Mall,Shop 29 & 30,Van Riebeeck Avenue,Edenvale,GAU,
DOORNFONTEIN CELL SELL,CELL SELL,CELL SELL,cv5753,Access City,1st Floor,5 Beacon Road,New Doornfontein,GAU,2028
CHATSWORTH TELKOM MIG,TELKOM,MIGARDA,cv5392,Chatsworth Centre,Shop 13/14,16 Joyhurst Street,"Chatsworth,Durban",KZN,
CAVENDISH SQUARE TELKOM TOW,TELKOM,TOW,cv593,Cavendish Square,Shop 04,Dreyer Street,"Claremont,Cape town",WC,
CLEARWATER MALL MTN CSM,MTN,CSM,cv542,Clearwater Mall,LM 161 & LM 162,Hendrik Potgieter and Christiaan de Wet Road,"Strubensvalley,Roodepoort",GAU,1735
DIAMOND PAVILION MALL 4U DM,VODACOM,PANDADOX,cv309,Diamond Pavilion Mall,Shop 22/23,"Monument Heights,Cnr Oliver & Mc Dougal Street",Kimberley,NC,
EASTGATE SCOIN,N/A,GOLD COIN.,cv5035,Eastgate Mall,Shop U68,Bradford Road,Bedfordview,GAU,
EMBALENHLE JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5460,Embalenhle Plaza,Shop 21,Corner eMbalenhle Avenue & Old Provincial Road,Embalenhle,MP,
FOURWAYS MALL MR PRICE,MR PRICE,MRP GROUP,pv012,Fourways Mall,Shop NG63,William Nicol & Witkoppen Road,Fourways,GAU,2191
FOURWAYS MALL TELKOM TOW,TELKOM,TOW,cv437,Fourways Mall,Shop NG60,Cnr William Nicol Drive & Fourways Blvd,Fourways,GAU,2191
GALLERIA AMANZIMTOTI TELKOM TOW,TELKOM,TOW,cv556,Galleria Shopping Mall,Shop F40,Arbour Road,Amanzimtoti,KZN,
GATEWAY SCOIN,N/A,GOLD COIN.,cv594,Gateway Shopping Mall,Shop F62,1 Palm Bolavoured,Umhlanga Ridge,KZN,
GREENSTONE CHATZ HIC,VODACOM,CHADEZ,cv725,Greenstone Shopping Mall,Shop LO68,Cnr Van Riebeeck & Modderfontein Road,Edenvale,GAU,
GREYVILLE CITY VIEW CENTRE TELKOM MIG,TELKOM,MIGARDA,cv409,City View Centre,Shop G27,10 Matthews Meyiwa Road,"Greyville, Durban",KZN,
JABULANI VODACOM CHADEZ,VODACOM,CHADEZ,cv5710,Jabulani mall,Shop 70,Koma st Cnr bolani st,Jabulani,GAU,
MALL OF AFRICA L1090 MTN MOW,MTN,MOW,cv613,Mall Of Africa,Shop 1090 Level 3,Magwa Cresent,"Waterfall,Midrand",GAU,
MALL OF THE NORTH SCOIN,N/A,GOLD COIN.,cv5001,Mall of the North,Shop U16,Corner R81 and N1 Interchange,"Bendore, Polokwane",LP,0700
MALL OF THE NORTH VODASHOP ALM,VODACOM,ALISOM,cv149,Mall of the north,Shop L66,"R81 Bendor,",Polokwane,LP,
MALL OF THE SOUTH 4U Cellurbar,VODACOM,ALBERTON REPAIRS,cv180,Mall Of The South,Shop G068,Corner Swartkoppies & Klipriver,Aspen Hills,GAU,1448
MELROSE ARCH HO MTN CNW,MTN,CELL NETWORK,cv112,Melrose Arch,1st Floor Melrose Arch,11 Crescent Drive,"Melrose, JHB",GAU,
MODI MALL MTN CNW,MTN,CELL NETWORK,cv677,Modi Mall,Shop 3,Cnr Thabo Mbeki Drive & Grewer Street,Modimolle,LP,
NEW MARKET ALBERTON 32/33 VODACOM,VODACOM,ALBERTON REPAIRS,cv5394,New Market Mall,Shop 32/33,Cnr Heidelburg & Alberton,Alberton,GAU,
NIGEL DUNNS STH,DUNNS.,STH,cv5463,Nigel Plaza,Shop 4,Hendrik Verwoerd,Nigel,GAU,1491
NORKEM PARK MTN WRS,MTN,WRS,cv5482,Norkem Corner,Shop D5,Mooirivier & James Wrights Avenue,Kempton Park,GAU,1618
SAM NTULI MALL JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv605,Mgadi Ext 1,Shop 28,Cnr Khumalo & Masakhane Street,Katlehong,GAU,
PALM SPRINGS MALL ORANGE FARM JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5479,Palm Springs Mall,Shop 37,Cnr R155 & Falcon Road,Orange Farm,GAU,
PARK STATION TELKOM TSS,TELKOM,TSS,cv5439,"Mezannine Level, Park Station",Shop M7,Rissik Street, Johannesburg,GAU,
SCOIN PAVILION T1 DBN,SCOIN.,GOLD COIN.,cv5004,Pavilion Mall,Shop 228,Jack Martin Drive,"Westville,Durban",KZN,
ATHLONE CIRCLE PMB SCOIN,N/A,GOLD COIN.,cv5002,Athlone Circle,Shop R24,1 Montgomery Drive,Pietermaritzburg,KZN,
PINETOWN TELKOM MIG,TELKOM,MIGARDA,cv5706,Pinecrest Centre,Shop 237-241,17 Kings Road,Pinetown,KZN,3610
PRETORIA CENTRAL MTN WRS,MTN,WRS,cv126,Standard Bank Centre,Shop 34,Lillian Ngoyi & WF Nkomo Street,Pretoria,GAU,0002
RANDFONTEIN VILLAGE 1 JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5173,Village Square,Shop 39,Randfontein Road,Randfontein,GAU,
RICHARDS BAY VODA INF,VODACOM,INF,cv129,Boardwalk Shopping centre,L16,Krugerrand Road,Richards Bay,KZN,
RIVERSIDE MALL MTN CNW,MTN,CELL NETWORK,cv5467,Riverside Mall,Shop 17,Frikkie Meyer Boulevard,Vanderbijlpark,GAU,
ROADI CENTRE THREE RIVERS MTN PHI,MTN,PHI,cv222,Roadri Centre,Shop 2,120 General Hertzog Road,Three Rivers Vereeniging,GAU,1935
ROSEWOOD MALL KOKSTAD MTN HRC,MTN,CELL LOGIC,cv304,33 groom st,Shop 5,Rosewood Square,Kokstad,KZN,4700
SANDTON CITY SCOIN,N/A,GOLD COIN.,cv597,Sandton City Mall,Shop 2B,5th Street,Sandton,GAU,2196
SHELLY BEACH TELKOM MIG,TELKOM,MIGARDA,cv5457,Shelly Centre,Shop 97A,Marine Drive,Shelly beach,KZN,
SOMERSET MALL SCOIN,N/A,GOLD COIN.,cv5005,"Somerset Mall, Entrance 1",Shop 77,Intersection of N2 & R44 Centenary Drive,"Somerset West, Cape Town",WC,
SOMERSET WEST JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5437,,,104 Main Road,Somerset CBD,WC,
SOSHANGUVE PLAZA JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5069,Soshanguve Plaza,Shop 23,Buitekant Street,Soshanguve,GAU,0152
SOUTHDALE JETMART TFG,JET.,THE FOSCHINI GROUP (TFG),cv5128,Southdale Mall,G46,Alamein Road,Johannesburg,GAU,
SUPERSTORE LIBERTY MIDLANDS MALL VODA ALM,VODACOM,ALISOM,cv232,Midlands mall,Shop 88,50 centurion road,Liberty midlands,KZN,
THE GLEN SCOIN,N/A,GOLD COIN.,cv5037,The Glen Shopping Centre,Shop M48B,Corner Orpen & Letaba Street,Johannesburg,GAU,2190
