Store Name,Network,Account Group,Unit 1,Building,Shop Number,Shipping Street,Shipping City,Region,Shipping Code
THABA MALL MTN CELLZONE,MTN,CELLZONE.,cv5611,Thaba Mall,Shop 13,Cnr R511 warmbath & Thabazimbi Road,Thabazimbi,LP,0380
KENAKO MALL TELKOM MOT,TELKOM,MOTIVITY,cv5519,Kenako Mall,Shop 22C,Sponder Street,New Brighton.PE,EC,
QUEENS BUILDING WATERFRONT ISTORE,iStores,CORE,cv5601,"Queens Building, Waterfront",,67 Dock and Alfred Street,Cape Town,WC,
MADEIRA STREET MTHATHA VODACOM WORTHTRADE 91,VODACOM,WORTHYTRADE 91,cv6006,,Shop 2,26 Madeira Street,"Umthatha,CBD",EC,
PROTEA GARDENS SOWETO DUNNS STH,DUNNS.,STH,cv5693,Protea Gardens Mall,Shop 112,CNR Old Potchefstroom Road & Alekhine Street,Soweto,GAU,1818
QUEENSTOWN NONESI MALL VODACOM WT 91,VODACOM,WORTHYTRADE 91,cv6005,Nonesi Mall,Shop 53,Victoria Road,Queenstown,EC,
MTHATHA PLAZA 4U JUDYS REPAIRS,4U,JUDY'S REPAIRS,cv5607,Mthatha Plaza,Shop 36,Nelson Mandela Drive,Mthatha,EC,5099
NGEBS MALL VODA WT 91,VODACOM,WORTHYTRADE 91,cv6007,BT NGEBS MALL,SHOP 45,ERROL SPRIGG STREET,MTHATHA,EC,5099
MATATIELE VODA WT 91,VODACOM,WORTHYTRADE 91,cv6009,Kenje Building,Shop 3,96 High Street,Matatiele,EC,
TEMBI MALL JET TFG,JET,THE FOSCHINI GROUP (TFG),cv5113,Tembi Mall,Shop 5 & 6,cnr George Nyanga & Sheebs,Thembisa,GAU,
DIEPSLOOT DUNNS STH,DUNNS.,STH,cv5588,Diepsloot Mall,Shop 9,Cnr R511 William Nicol & Plum Street,Diepsloot,GAU,2189
NTSIZWA MALL MOUNT FRERE VODA WORTHTRADE 91,VODACOM,WORTHYTRADE 91,cv6008,Ntsizwa Mall,Shop 2,224 Main Road,Mount Frere,EC,
THE SQUARE @FARRAMERE MTN WRS,MTN,WRS,cv5351,The Square@Farramere,Shop 38,Klei and Klip Road,Ferrarmere,GAU,1501
NORTHAM JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv727,Extension 06,Shop 23,Tlou Street,Northam,LP,0360
ACORNHOEK MALL KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5466,Acornhoek Mall,,R40 and Green Valley Road,"Greenvalley,Acornhoek",MP,1360
CLEARWATER MALL SAMSUNG ACR,SAMSUNG.,ADJOA CAPITAL RETAIL (ACR),cv5210,Clearwater Shopping Mall,Shop no UM021,Cnr Hendrick Potgieter Drive & Christiaan De Wet,"Ruimsig / Strubensvalley, Roodepoort",GAU,1724
CANALWALK SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),pvc022,"Canal Walk Shopping Centre,",Shop 407A,Century Boulevard,"Milnerton, Cape Town",WC,7441
GATEWAY MALL MR PRICE,MR PRICE,MRP GROUP,pv013,Gateway Mall,Shop F032,"Gateway Avenue, Umhlanga Rocks","Umhlanga,Durban",KZN,
EASTGATE MALL MR PRICE,MR PRICE,MRP GROUP,pv018,Eastgate Shopping Centre,Shop 162,Bradford Road,Bedfordview,GAU,
MUTUAL MALL MTN STM,MTN,SKYTEL MOBILE,cv634,Mutual Mall,Shop 63,303 West Street,Durban,KZN,4001
SANDTON CITY SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),pvo46,Sandton City,Shop L70,cnr Rivonia Road & 5Th Street,Sandton City,GAU,2196
SECUNDA EMBALENHLE MALL DUNNS STH,DUNNS.,STH,cv5476,Embalenhle Mall,Shop 41/46,Cnr Embalenhle & Main Street,Secunda,MP,
GARANKUWA CITY MALL DUNNS STH,DUNNS.,STH,cv5506,Garankuwa Shopping Centre,Shop 40,Garankuwa,Ga-Rankuwa,GAU,0208
KHAYELITSHA MALL DUNNS STH,DUNNS.,STH,cv5514,Khayelitsha Mall,Shop 24,Walter Road,Khayelitsha,WC,7784
MIDDELBURG DUNNS STH,DUNNS.,STH,cv5511,Midstone Mall,Shop No 7,Corner Ikangeng &Tswelopele Road,Middelburg,MP,5900
DFX PAN AFRICAN JUNCTION DUNNS STH,DUNNS.,STH,cv5549,Pan African Junction Mall,Shop 2244,"G24 Watt Street,Alex Junction",Alexandra,GAU,2090
KATLEHONG DUNNS STH,DUNNS.,STH,cv5724,Letsoho Shopping Centre,Shop 9/12,"Cnr Lekwane and, Hospital Rd",Katlehong,GAU,
PAROW MTN CNW,MTN,CELL NETWORK,cv066,Parow centre,Shop F1-36,Corner Voortrekker & Delarey Road,"Parow,Cape Town",WC,
ELUKWATINI DUNNS STH,DUNNS.,STH,cv5089,Elukwatini Score Centre,Shop 1,Main Road,"Elukwatini, Belfast",MP,1192
VAALWATER OASIS MALL DUNNS STH,DUNNS.,STH,cv5090,Oasis Mall,Shop 14,Vaalwater Oasis Main Road,Vaalwater,LP,0530
BARBERTON DUNNS STH,DUNNS.,STH,cv5247,,,98 De Villiers Street,Barberton,MP,1300
MARBLE HALL DUNNS STH,DUNNS.,STH,cv5494,,,120 Main Street,Marble Hall,LP,0450
Bushbuckridge DUNNS STH,DUNNS.,STH,N/A,Denly mall,Shop No 5,Manelodi crossing,Mamelodi,GAU,
JANE FURSE DUNNS STH,DUNNS.,STH,cv5455,Jane Furse Plaza,Shop 09,R579 Main Road,Jane Furse,MP,
THULAMAHASHE PLAZA DUNNS STH,DUNNS.,STH,cv5513,Thulamahashe Plaza,Shop 46,Main Street,Thulamahashe,MP,1365
BOTHAVILLE DUNNS STH,DUNNS.,STH,cv5540,,Shop 17,President Street,Bothaville,FS,
OLIEVENHOUT PLAZA DUNNS STH,DUNNS.,STH,cv5296,Olievenhout Plaza,Shop 45,R55 Road,Centurion,GAU,0175
COSMO MALL DUNNS STH,DUNNS.,STH,cv5548,Cosmo Mall,Shop 47,Cnr Malibongwe & Dawn Road,Cosmo City,GAU,2000
NQUTHU DUNNS STH,DUNNS.,STH,cv5201,Nqutu Plaza,Shop 9,Main Road,Nqutu,KZN,3135
ESTCOURT DUNNS STH,DUNNS.,STH,cv5196,Estcourt Centre,Shop 3 & 4,Philip Street,Estcourt,KZN,3310
HARRISMITH DUNNS STH,DUNNS.,STH,cv5194,,Shop no 19,19 Southey Street,Harrismith,FS,9880
PHUTHADITJHABA DUNNS STH,DUNNS.,STH,cv5170,Setsing Plaza,Shop 6,Setsai Street,Phuthaditjhaba,KZN,
MELMOTH DUNNS STH,DUNNS.,STH,cv614,Melmoth Centre,Shop 10,10 Opposition Street,Melmoth,KZN,3835
BALLITO LIFESTLYE CENTRE 072SHOP ALM,VODACOM,ALISOM,cv5231,Ballito Lifestyle Centre,Shop 24,445 Main Road,Ballito,KZN,4420
NKANDLA DUNNS STH,DUNNS.,STH,cv5696,Mtiyane Centre,Shop 2,Main Road,Nkandla,KZN,
BALLITO JUNCTION VODA 072SHOP ALM,VODACOM,ALISOM,cv5499,Ballito Junction Mall,Shop 631,1 Leonora Drive,Ballito,KZN,4430
CONSTANTIA CHATZ ORBIT CELLULAR,CHATZ,ORBIT CELLULLAR,cv5612,Constantia Emporium,Shop 5,C/O Ladies Mile & Spaanschemat Road,Constantia,WC,7801
HARRISMITH VODA RTC,VODACOM,RTC,cv314,Jet Centre,Shop 3,27 Southey Street,Harrismith CBD,KZN,9880
ULUNDI DUNNS STH,DUNNS.,STH,cv5262,Ithala Centre,Shop 20,Princess Magogo Street,Ulundi,KZN,3838
MKUZE DUNNS STH,DUNNS.,STH,cv5683,Mkhuze Plaza,Shop 8 A,Corner Main Road & Empangeni Drive,Mkhuze,KZN,
KWANONGOMA DUNNS STH,DUNNS.,STH,cv5695,Nongoma Plaza,Shop 27,Main Road,Nongoma,KZN,3950
ESIKHAWINI DUNNS STH,DUNNS.,STH,cv5317,Esikhawini Mall,Shop 19,Mdlebe Ntshona,"Esikhawini,",EC,3887
LUSIKISIKI DUNNS STH,DUNNS.,STH,cv729,Lusikisiki Centre,Shop 47,Main Street,Lusikisiki,EC,4820
BIRCH ACRES MALL TELKOM TSS KIOSK,TELKOM,TSS,cv5203,BIRCH ACRES MALL,,cnr Andrew Mapheto Drive & Isimuke Road,Tembisa,GAU,
HARTEBEESPOORT VILLAGE MALL TELKOM TSS,TELKOM,TSS,cv5614,Village Mall,Shop 86,Magalies Boulevard & R511,"Schoemansville, Hartbeespoort",NW,0216
CHUMA MALL TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5464,CHUMA MALL,PICK N PAY COURT,1ST AVENUE DIEPSLOOT WEST 7,DIEPSLOOT,GAU,2189
HEIDELBERG TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5448,Millitary Base,,1 Jacobs Street,Heidelberg,GAU,1441
PROTEA GLEN 4U UTC,VODACOM,UMTHUNYWA CONSULTING (UTC),cv168,Protea Glen Mall,Shop 58,R558 & Protea Boulevard,Soweto,GAU,1819
HILLCREST OFFICE PARK SAMSUNG REPAIR PDX,SAMSUNG.,PANDADOX,cv5615,Nedbank Building,,179 Lunnon Road,Pretoria,GAU,
ENGCOBO DUNNS STH,DUNNS.,STH,cv5321,,,154 High Street,Engcobo,EC,5050
HUMANSDORP DUNNS STH,DUNNS.,STH,cv5049,,,411 Main Street,Humansdorp,EC,6300
UMTATA - MTHATHA PLAZA DUNNS STH,DUNNS.,STH,cv5461,Mthatha Plaza,Shop 49,Nelson Mandela Drive,Mthatha,EC,5101
STUTTERHEIM DUNNS STH,DUNNS.,STH,cv5076,,"Shop 2,3,4",Maclean Street,Stutterheim,EC,4930
PAVILLION SPORTSCENE TFG,SPORTSCENE,THE FOSCHINI GROUP (TFG),pv023,The Pavillion shopping Centre,Shop 325 A,Jack Martens Drive,"Westville ,Durban",KZN,3631
MAMS MALL VODACOM CHADEZ,VODACOM,CHADEZ,cv5116,Mams Mall,Shop 105,Cnr K54 and Tsamaya Avenue,Mamelodi,GAU,Entrance 3
MENLYN MAINE VODACOM ALM,VODACOM,ALISOM,cv5086,Menlyn Maine,Shop 48,Cnr January Masilela Avenue & Aramist Avenue,"Waterkloof Glen Ext 2, Pretoria",GAU,
RANDPARK RIDGE VODA CHATZ,VODACOM,ALISOM,cv152,Randridge Park,Shop 108,Corner John Voster Drive and Kayburn Road,Randburg,GAU,
BRENTWOODPARK MTN BLC CELLULAR,MTN,BLC,cv5388,Brentwoodpark Shopping Centre,Shop 8,Stanley and Great Northroad,Kempton Park,GAU,
CYCAD CENTRE VODACOM SHOP ALM,VODACOM,ALISOM,cv5183,Cycad Centre,Shop 8,Corner Outspan & Genl Maritz Street,Bendor Ext 59,LP,0699
MAKHADO GROVE CENTRE CHATZ CONNECT ALM,CHATZ,ALISOM,cv5222,Grove Centre,Shop 13,Corner Songozwi & Anderson Street,Makhado,LP,
TZANEEN VODACOM 4U,VODACOM,ALISOM,cv5137,Lifestyle Centre,Shop 19A,Corner Voortrekker and R71 Road,Tzaneen,LP,
ODENDAALRUS DUNNS STH,DUNNS.,STH,cv5541,,,81 Waterkant Street,Odendaalsrus,FS,
LEANDRA DUNNS STH,DUNNS.,STH,cv5544 (B.O.H),"Savanna Plains,",Shop 10,8 Norda Street,Leandra,MP,2265
BRIDGE CITY TELKOM MIG,TELKOM,MIGARDA,cv5191,Bridge City,Shop L33,Nogwaja Road & Bridge City Boulevard,Kwa-Mashu,KZN,4126
DFX - TEMBISA DUNNS STH,DUNNS.,STH,cv5176,Phumulani Mall,Shop no 43,Olifantsfontein Road,Tembisa,GAU,1632
WALMER PARK VODACOM CC,VODACOM,CELLUCITY,cv5508,Walmer Park Shopping Center,Shop 33,Main Road,"Walmer,PE",EC,
KEMPTON PARK HYPER DUNNS STH,DUNNS.,STH,cv5067,Festival Mall,Shop 110-112,Kelvin Street,Kempton Park,GAU,1619
OLYMPUS VILLAGE MTN WRS,MTN,WRS,cv5193,Olympus Village,Shop 18,Olympus Drive & Archilles Road,Pretoria,GAU,
KEMPTON SQUARE DUNNS STH,DUNNS.,STH,cv5186 T4 BOF,Kempton Park Square,Shop 38,Central Avenue,Kempton Park,GAU,1619
MOOIRIVIER MALL POTCH MTN CNW,MTN,CNW,cv5288,Mooirivier Mall,Shop 75/76,Cnr Govan Mbeki & Nelson Mandela Drive,Potchefstroom,NW,2531
DWARSLOOP MALL KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5618,Dwarsloop Mall,Shoprite Court-Opposite Markhams,R40 & Thulamahashe Road,"Dwarsloop, Bushbuckridge",MP,1280
BLUE VALLEY VODACOM NLS CHATZ,CHATZ,NEL TECHNOLOGIES,cv288,Blue Valley Mall,Shop 40,Corner Rooihuiskraal & Bothriil Street,"The Reeds,Centurion",GAU,0157
BOTSHABELO MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5616,Botshabelo Mall,Shop 28,Jazzman Street,Botshabelo,FS,1624
VODACOM KING WILLIAMS TOWN TKS,VODACOM,TIEKAMS,cv5587,THE MALL KING WILIAMS TOWN,70G,CNR SMITH & CROSS STREET,KING WILIAMS TOWN,EC,5600
TUBATSE CROSSING MALL VODA KDS,VODACOM,KADSON,cv5619,Tubatse Crossing Mall,Shop L74,Dirk Winterbach Street,Burgersfort,LP,1150
TSOLO DUNNS STH,DUNNS.,STH,cv5536,,463,Main Street,Tsolo,EC,
ALICE DUNNS STH,DUNNS.,STH,cv5723,,,25 Main street,Alice,EC,5700
SOUTH COAST MALL MTN SKYTEL,MTN,SKYTEL MOBILE,cv5091,South Coast Mall,Shop 68,Izotsha Rd,"Shelly Beach, Margate",KZN,4265
KRIEL DUNNS STH,DUNNS.,STH,cv652,Megamark Mall,Shop 10 a/b,Bronwyn Street,Kriel,MP,2271
WOODMEAD TELKOM MOT,TELKOM,MOTIVITY,cv5195,Woodmead Retail Park,6A,1 Waterfall Crescent,Woodmead,GAU,2191
DUNNS STH MALAMULELE LP T3,DUNNS.,STH,cv5532,Malamulele Plaza,Shop 10,Hospital Street,Malamulele,LP,0982
MOUNT FLETCHER DUNNS STH,DUNNS.,STH,cv5538,,Shop 3,R56,Mount Fletcher,EC,4470
BOPEDI DUNNS STH,DUNNS.,STH,cv5531,Bopedi Shopping Centre,Shop 11,Apel Bopedi Road,"Bopedi,Ga - Nkoana",LP,0739
GIYANI PLAZA DUNNS STH,DUNNS.,STH,cv5530,Giyani Plaza,Shop 19,16 Post Office Street,Giyani,LP,
CAROLINA DUNNS STH,DUNNS.,STH,cv5465,Ok Centre,"Shop no 7,8,9",49 Voortrekker StrEET,Carolina,MP,1185
VIRGINIA DUNNS STH,DUNNS.,STH,cv5528,,,28 Government Avenue,"Virginia,",FS,9430
MAMELODI CROSSING DUNNS STH,DUNNS.,STH,CV5427,Mamelodi Crossing,Shop 5,"Corner Stormvoel Road &, Maphalla Street",Mamelodi,GAU,0122
MUSGRAVE CENTRE VODACOM 4U SYX,4U,SIYAXOXA,cv153,Musgrave Centre,Shop 111,115 Musgrave Road,Durban,KZN,
DUNNS KUILSRIVIER,DUNNS.,STH,cv5552,,No 11,Van Riebeeck Road,Kuilsrivier,WC,7580
KEYA RONA SHOPPING CENTRE DUNNS STH,DUNNS.,STH,cv186,Keya Rona Shopping Centre,Shop no 26,R556 Road,Bapong,NW,0269
MOUNT FRERE DUNNS STH,DUNNS.,STH,cv242,Mayaba Building,Shop 1,Main street (opposite FNB),Mount Frère,EC,5090
LYDENBURG DUNNS STH,DUNNS.,STH,cv144,,Shop 1,22 Voortrekker Street,"Lydenburg,",MP,1120
BELFAST DUNNS STH,DUNNS.,STH,cv5621,Belfast Shopping Centre,Shop 1A,Vermooten Street,Belfast,MP,1100
POTGIETERSRUS DUNNS STH,DUNNS.,STH,cv122,,Unit 002,53 Thabo Mbeki Street,Mokopane,LP,
RUSTENBURG MIDTOWN MALL DUNNS STH,DUNNS.,STH,cv5522,Midtown Mall,Shop 58,Corner Thabo Mbeke & Fatima Bhayat Street,Rustenburg,NW,0299
HARDING DUNNS STH,DUNNS.,STH,cv5684,Harding Corner Shopping Centre,Shop S07,Hawkins Street,Harding,KZN,
NEW MARKET ALBERTON 12A VODACOM,VODACOM,ALBERTON REPAIRS,cv5012,New Market Mall,Shop 12A,Cnr Heidelburg & Alberton,Alberton,GAU,
DUNNS KABOKWENI,DUNNS.,STH,cv315,Kabokweni Plaza,Shop 5,Main Road,"Kabokweni, White River",MP,1245
EMPANGENI VODACOM IFINITY CELLULAR,VODACOM,INFINITY CELLULAR,Cv5757,Sanlam Centre,Shop 231,Maxwell Street,Empangeni,KZN,3880
MELROSE ESTATE CLEARSTONE WOW INVESTMENTS,N/A,WOW INVESTMENTS,ys001,Melrose Estate,,21 Melrose Street,"Melrose, JHB",GAU,
CLUB HOUGHTON WOW INVESTMENTS,N/A,WOW INVESTMENTS,ys002,Club Houghton Estate,,107 Osborn Road,Houghton,GAU,
WAVERLY WOW INVESTMENTS,N/A,WOW INVESTMENTS,ys003,Warvely,,1 Murray Street,Waverley,GAU,
HEMMINGWAYS CELL C,CELL C,CELL C,cv5486,Hemmingsway Mall,Shop UG27,Two Rivers drive & Western Avenue,East London,EC,5201
CHUMA MALL JET TFG,JET.,THE FOSCHINI GROUP (TFG),cv5058,Chuma mall,Shop 21,Cnr R511 and 1st Avenue,Diepsloot,GAU,2189
WOODMEAD WeFIX,WeFIX,WeFIX,cv5084,Woodmead Retail Park,Shop 6A,"1 Waterval Cres S,",Woodmead,GAU,2192
SINGET TERRACE MALL TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5292,Signet Terrace Mall,,Corner Guinea Fowl & Gemsbok St Signet Terrace,"Lenasia, Shoprite",GAU,1827
CENTURION WeFIX,WeFIX,WeFIX,N/A,Centurion Mall,Shop 313A,Heuwel Road & Gordon Hood Road,"Centurion, Pretoria",GAU,0157
FERNDALE ON REPUBLIC MTN PDL,MTN,PDL,cv5042,Ferndale On Republic,Shop L32,Republic Road,Randburg,GAU,
CENTRAL CITY CENTRE TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv5626,Central City shopping centre,Stand 426 Unit E,Central Road,"Mabopane ,Pretoria",GAU,0190
KILLARNEY MALL VODACOM BANNERBOAT,VODACOM,BANNERBOAT,cv372,Killarney Mall,Shop 19a,Riviera Road,Killarney,GAU,2193
CAPE GATE MR PRICE,MR PRICE,MRP GROUP,pv026,Cape Gate Shopping Centre,Shop 28,21 Okavango Road,Cape Town,WC,
MALL OF TEMBISA MR PRICE,MR PRICE,MRP GROUP,pv027,Mall of Tembisa,Shop 2190,"Cnr R562 Olifantsfontein rd and, Aluminium Dr",Tembisa,GAU,
MELROSE ARCH ELEGANCE JEWELLERS,ELEGANCE JEWELERS,eJEWELS,cv5625,Melrose Arch,Shop HL15,cnr High Street and Corlett Drive,Melrose,GAU,2076
SANDTON ELEGANCE JEWELERS,ELEGANCE JEWELERS,eJEWELS,cv5631,Sandton City,Store U77 Diamond Walk,Rivonia Road & 5th Street,Sandton,GAU,
MAFIKENG STATION DUNNS STH,DUNNS.,STH,cv5329,MAFIKENG STATION,SHOP NO 14,STATION STREET,MAFIKENG,NW,2745
SUN CITY DUNNS STH,DUNNS.,STH,cv5327,SUN VILLAGE SHOP CENTRE; FARM DORINGHOEK 910,SHOP NO 26,PILANSBERG ROAD,LEDIG,NW,6715
BIZANA DUNNS STH,DUNNS.,STH,cv5567,Mawande Building 96 Don,Shop 2,Thompson Ave,Bizana,EC,
STERKSPRUIT DUNNS STH,DUNNS.,STH,Cv667,Mather Mall,Shop No 4 l,60 Main Road,Sterkspruit,EC,9762
BELLVILLE DUNNS STH,DUNNS.,STH,cv5331,,,47 Blanckenberg Street,"Bellville, Cape Town,",WC,7530
BURGERSFORT DUNNS STH,DUNNS.,STH,cv535,Twin City Shopping Centre,Shop 29,Dirk Winterbach Street,Burgersfort,LP,
NABOOMSPRUIT DUNNS STH,DUNNS.,STH,cv215,,SHOP 1,72 THABO MBEKI STREET,MOOKGOPONG,LP,0560
MAFIKENG MARKET SQUARE DUNNS STH,DUNNS.,STH,cv5279,Market Square,Shop 16,Carrington Street,Mafikeng,NW,
NAMAKGALE CROSSING BA-PHALABORWA DUNNS STH,DUNNS.,STH,cv5458,Namakgale crossing,Shop 19A,Ngobeni Drive and Asibasabi Street,Phalaborwa,LP,
MUSINA CBD DUNNS STH,DUNNS.,STH,cv731,MUSINA SHOPPING CENTRE,SHOP 12,N1 NATIONAL ROAD,MUSINA,LP,0900
BOCHUM PLAZA DUNNS STH,DUNNS.,STH,cv5179,Bochum Plaza,Shop 22,Blourbeg Road,Bochum,LP,
GIYANI MASINGITA MALL DUNNS STH,DUNNS.,STH,cv5249,MASINGITA MALL,SHOP 8,MASINGITA ROAD,GIYANI,LP,0826
ELIM HUBYENI CENTRE DUNNS STH,DUNNS.,STH,cv5579,Hubyeni Centre,Shop 33,Main Street,Elim Village,LP,7284
MODJADJISKLOOF PLAZA DUNNS STH,DUNNS.,STH,cv506,MODJADJI PLAZA,SHOP 23,MAIN ROAD,GA-KGAPANE,LP,0837
TZANENG MALL DUNNS STH,DUNNS.,STH,cv650,TZANENG MALL,SHOP B1,DANIE JOUBERT STREET,TZANEEN,LP,0855
TONGA MALL DUNNS STH,DUNNS.,STH,cv550,Tonga Mall,Shop 21,Tonga Street,Tonga,MP,
GATEWAY WeFIX,WeFIX,WeFIX,cv5189,Gateway Shopping Mall,F6,1 Palm Boulevard,Umhlanga Ridge,KZN,
DURBAN MOBITRADE,MOBITRADE,MOBITRADE,cv5586,Palm House,Suite A,271 Cowey Road,Durban,KZN,4001
OGIES DUNNS STH,DUNNS.,STH,cv5569,Dacidor Centre,Shop No 1,Van Riebeeck Street,Ogies,MP,2231
TSHWANE MALL VODACOM CHADEZ,VODACOM,CHADEZ,Cv5234,Tshwane Mall,Shop GF67,Waltloo and Tsamaya Avenue,Mamelodi West,GAU,0122
MBAZWANA DUNNS STH,DUNNS.,STH,cv178,Jock Morrison Centre,Shop 3,Main Street,"Mbazwana,",KZN,3974
DUNNS STH ESHOWE,DUNNS.,STH,cv255,Eshowe Centre,Shop 4,25 Osbourne Road,Eshowe,KZN,3815
BALLITO WARNE HOUSE VODA ALM,VODACOM,ALISOM,cv5627,Warner House Office Park,Unit 13,Douglas Crowe Drive,Ballito,KZN,4230
V&A WATERFRONT SCOIN,N/A,GOLD COIN,cv5624,V&A Waterfront,,19 Dock Road,Cape Town,WC,
PIETERMARITZBURG VODA ALM,VODACOM,ALISOM,cv5628,"Townbush Office Park,",Unit 3B,460 Townbush Road,Pietermaritzburg,KZN,3201
MILLENNIUM BUSINESS PARK VODACOM ALM T3,VODACOM,ALISOM,cv5550,"First Floor, Block A, Millennium Business Park,",Unit A15,19 Edison Way,"Century City, Cape Town",WC,7446
GREENACRES CELL C,CELL C,CELL C,cv5453,Greenacres Shopping Centre,Shop 40A,Ring Rd,"Greenacres, Port Elizabeth",EC,6057
PROTEA GARDENS MALL CELL C,CELL C,CELL C,cv5484,Protea Gardens,Shop 65,cnr Chris Hani & Alekhini Road,Soweto,GAU,4309
MAPONYA MALL CELL C,CELL C,CELL C,cv5481,Maponya Mall,Shop 42,2127 Chris Hani Road,"Klipspruit, Soweto",GAU,1809
SANDTON CITY MR PRICE,MR PRICE,MRP GROUP,pv028,Sandton City Shopping Centre,L73A/B/C,Rivovia Road & 5th Street,Sandton,GAU,2146
MALL OF TEMBISA TELKOM TSS,TELKOM,TSS,cv5205,Mall of Tembisa,Shop L40,2175 Antimony Road,"Clayville, Olifantsfontein",GAU,1666
MALL OF TEMBISA VODACOM SFC,VODACOM,SFC,cv5168,Mall Of Tembisa,Shop LG 42,2175 Antimony Road,"Clayville, Olifantsfontein",GAU,1666
RANDBURG LIVE EASY,N/A,LIVE EASY,ys005,Randburg Live Easy,,32 cnr Hill Street & Kent Avenue,Randburg,GAU,
RIVONIA LIVE EASY,N/A,LIVE EASY,ys004,Rivonia Live Easy,23A,10th Avenue,Rivonia,GAU,2128
ATLYN SHOPPING CENTRE KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5617,Atlyn Shopping Centre,,Corner Phudufufu Street & Khoza Street,Pretoria,GAU,0008
DIHLABENG MALL TELKOM BTR KIOSK,TELKOM,BLUETECH (BTR),cv6001,Dihlabeng Mall,Shop 31,3371 Preekstoel Road,Bethlehem,FS,
ALBERTON CITY L111 MTN CELLMATE,MTN,CELLMATE,cv5120,Alberton City Mall,Shop L111,Alwyn Taljaard Avenue,"New Redruth, Alberton",GAU,1449
KLOOF CENTRE VODACOM CHATZ BPC,VODACOM,ORBIT CELLULLAR,cv5147,Lifestyle On Kloof Centre,Shop 1,Kloof Street,Tamboorskloof,WC,
TSHWANE MALL TELKOM KIOSK BTR,TELKOM,BLUETECH (BTR),cv5632,Tshwane Mall by Shoprite,,K-18 Tsamaya Avenue,Mamelodi,GAU,0122
PAVILLION MR PRICE,MR PRICE,MRP GROUP,pv029,The Pavilion,Shop 308,Harry Gwala Road,"Highway, Westville",KZN,3629
EMBA MALL KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5635,Emba Mall,Kiosk,eMbalenhle Avenue & Old Provincial Road,Embalenhle,MP,2285
GROBLERSDAL MALL KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5639,Groblersdal Mall,Kiosk,6 van Riebeeck Street,Groblersdal,LP,0470
MALL @LEBO KIOSK TELKOM BTR,TELKOM,BLUETECH (BTR),cv5638,Mall@Lebo,,Cnr R518 & R579,Lebowakgomo,LP,0737
MILPARK METAL BOX ARROWHEAD,N/A,Arrowhead,ys011,Metal Box,,25 Corner Owl street and Stanley Avenue,Auckland Park,GAU,
KLERKSDORP VODASHOP HIC,VODACOM,HIC,cv117,Checkers Hyper Centre,Shop G15,C/O Margaretha Prinsloo & Church Street,Klerksdorp,NW,
STURDEE AVE ROSEBANK ARROWHEAD,N/A,Arrowhead,ys010,,3rd Floor Upper Building,1 Sturdee Avenue (Entrance in Baker Street),Rosebank,GAU,2196
JAN SMUTS AVE ARROWHEAD,N/A,Arrowhead,ys009,,,158 Jan Smuts Avenue,Rosebank,GAU,
PARROW TOTALSPORTS TFG,TOTALSPORTS,TFG,pv030,Parow Sanlam Centre,Shop 87,Cnr Voortrekker & De La Rey Roads,"Parow East, Cape Town",WC,7501
WESTGATE SPORTSMAN WAREHOUSE MORESPORT,N/A,TFG,cv5104,Princess Crossing Shopping Center,Shop 35,Cnr Ontdekkers & Helderprins Street,Roodepoort,GAU,
MALL OF AFRICA TOTALSPORTS TFG,TOTALSPORTS,TFG,PV031,Mall of Africa,Shop 2039,Magwa Crescent,"Waterfall City, Midrand",GAU,2066
ZAMBEZI SPORTSMAN WAREHOUSE,SPORTSMAN WAREHOUSE,MORESPORT,cv116,Kolonnade Retail Park,Shop 42,"Zambesi Drive &, Enkeldoorn Ave,","Montana Park, Pretoria",GAU,0182
VANDERBIJLPARK SPORTSMAN WAREHOUSE MORESPORT,SPORTSMAN WAREHOUSE,MORESPORT,cv5053,Louis Trichardt Boulevard,Shop 12,The Palms,"Vanderbijlpark,",GAU,
EMPANGENI MR PRICE,MR PRICE,MRP GROUP,pv054,Sanlam Centre,Shop 313, Maxwell Street,"North Coast, Empangeni",KZN,3880
"SANDTON CITY, OFFICE TOWER LOBBY",N/A,Liberty 32,ys006,Sandton City,Office Tower Lobby,83 Rivonia Road,Sandhurst,GAU,2196
"SANDTON CITY, CINEMAS",N/A,Liberty 32,ys008,Sandton City,Cinemas,83 Rivonia Road,Sandhurst,GAU,2196
"SANDTON CITY, SOUTH EAST CORNER",N/A,Liberty 32,ys007,Sandton City,South East,83 Rivonia Road,Sandhurst,GAU,2196
